date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,111.39,111.44,107.35,109.33,53204626.0,0.0,1.0,105.82096585573,105.86846606484,101.98294895962,103.86395724039,53204626.0
2015-01-05,108.29,108.65,105.41,106.25,64285491.0,0.0,1.0,102.8759528909,103.21795439649,100.13994084615,100.9379443592,64285491.0
2015-01-06,106.54,107.43,104.63,106.26,65797116.0,0.0,1.0,101.21344557204,102.0589492942,99.398937584029,100.94744440102,65797116.0
2015-01-07,107.2,108.2,106.695,107.75,40105934.0,0.0,1.0,101.84044833229,102.7904525145,101.36069622028,102.36295063251,40105934.0
2015-01-08,109.23,112.15,108.7,111.89,59364547.0,0.0,1.0,103.76895682217,106.54296903421,103.2654546056,106.29596794683,59364547.0
2015-01-09,112.67,113.25,110.21,112.01,53315099.0,0.0,1.0,107.03697120895,107.58797363463,104.69996092073,106.4099684487,53315099.0
2015-01-12,112.6,112.63,108.8,109.25,49650790.0,0.0,1.0,106.9704709162,106.99897104166,103.36045502382,103.78795690581,49650790.0
2015-01-13,111.43,112.8,108.91,110.22,67091928.0,0.0,1.0,105.85896602302,107.16047175264,103.46495548386,104.70946096255,67091928.0
2015-01-14,109.04,110.49,108.5,109.8,48956588.0,0.0,1.0,103.58845602755,104.96596209175,103.07545376916,104.31045920603,48956588.0
2015-01-15,110.0,110.06,106.66,106.82,60013996.0,0.0,1.0,104.50046004247,104.5574602934,101.3274460739,101.47944674306,60013996.0
2015-01-16,107.03,107.58,105.2,105.99,78513345.0,0.0,1.0,101.67894762132,102.20144992153,99.940439967886,100.69094327183,78513345.0
2015-01-20,107.84,108.9667,106.5,108.72,49899907.0,0.0,1.0,102.4484510089,103.51882072099,101.17544540475,103.28445468924,49899907.0
2015-01-21,108.95,111.06,108.27,109.55,48575897.0,0.0,1.0,103.50295565115,105.5074644756,102.85695280725,104.07295816047,48575897.0
2015-01-22,110.26,112.47,109.72,112.4,53796409.0,0.0,1.0,104.74746112984,106.84697037251,104.23445887145,106.78047007976,53796409.0
2015-01-23,112.3,113.75,111.53,112.98,46464828.0,0.0,1.0,106.68546966154,108.06297572573,105.95396644124,107.33147250543,46464828.0
2015-01-26,113.74,114.3626,112.8,113.1,55614979.0,0.0,1.0,108.05347568391,108.64494828775,107.16047175264,107.4454730073,55614979.0
2015-01-27,112.42,112.48,109.03,109.14,95568749.0,0.0,1.0,106.7994701634,106.85647041433,103.57895598573,103.68345644577,95568749.0
2015-01-28,117.625,118.12,115.31,115.31,146477063.0,0.0,1.0,111.74424193177,112.21449400196,109.54498224997,109.54498224997,146477063.0
2015-01-29,116.32,119.19,115.56,118.9,84436432.0,0.0,1.0,110.504486474,113.23099847692,109.78248329552,112.95549726408,84436432.0
2015-01-30,118.4,120.0,116.85,117.16,83745461.0,0.0,1.0,112.48049517298,114.00050186451,111.00798869057,111.30248998705,83745461.0
2015-02-02,118.05,119.17,116.08,118.63,62739100.0,0.0,1.0,112.14799370921,113.21199839328,110.27648547027,112.69899613489,62739100.0
2015-02-03,118.5,119.09,117.61,118.65,51915749.0,0.0,1.0,112.5754955912,113.1359980587,111.72999186904,112.71799621853,51915749.0
2015-02-04,118.5,120.51,118.309,119.56,70149743.0,0.0,1.0,112.5754955912,114.48500399743,112.3940447924,113.58250002434,70149743.0
2015-02-05,120.02,120.23,119.25,119.94,42246245.0,0.47,1.0,114.46630173067,114.66658437826,113.73193202285,114.39000357921,42246245.0
2015-02-06,120.02,120.25,118.45,118.93,43706567.0,0.0,1.0,114.46630173067,114.68565891613,112.96895050823,113.42673941701,43706567.0
2015-02-09,118.55,119.84,118.43,119.72,38889797.0,0.0,1.0,113.06432319756,114.29463088988,112.94987597037,114.18018366269,38889797.0
2015-02-10,120.17,122.15,120.16,122.02,62008506.0,0.0,1.0,114.60936076467,116.49774001335,114.59982349573,116.37375551722,62008506.0
2015-02-11,122.77,124.92,122.5,124.88,73561797.0,0.0,1.0,117.08905068718,119.13956350771,116.83154442599,119.10141443198,73561797.0
2015-02-12,126.06,127.48,125.57,126.46,74474466.0,0.0,1.0,120.22681216605,121.58110435449,119.75948598834,120.60830292335,74474466.0
2015-02-13,127.28,127.28,125.65,127.08,54272219.0,0.0,1.0,121.39035897584,121.39035897584,119.8357841398,121.19961359718,54272219.0
2015-02-17,127.49,128.88,126.92,127.83,63152405.0,0.0,1.0,121.59064162343,122.91632200508,121.04701729426,121.91490876714,63152405.0
2015-02-18,127.625,128.78,127.45,128.715,44891737.0,0.0,1.0,121.71939475402,122.82094931575,121.5524925477,122.75895706769,44891737.0
2015-02-19,128.48,129.03,128.33,128.45,37362381.0,0.0,1.0,122.53483124777,123.05938103907,122.39177221378,122.50621944097,37362381.0
2015-02-20,128.62,129.5,128.05,129.495,48948419.0,0.0,1.0,122.66835301283,123.50763267891,122.12472868366,123.50286404444,48948419.0
2015-02-23,130.02,133.0,129.66,133.0,70974110.0,0.0,1.0,124.00357066341,126.84567680536,123.66022898183,126.84567680536,70974110.0
2015-02-24,132.94,133.6,131.17,132.17,69228130.0,0.0,1.0,126.78845319177,127.41791294133,125.10035659067,126.05408348395,69228130.0
2015-02-25,131.56,131.6,128.15,128.79,74711746.0,0.0,1.0,125.47231007905,125.51045915478,122.22010137299,122.83048658468,74711746.0
2015-02-26,128.785,130.87,126.61,130.415,91287529.0,0.0,1.0,122.82571795022,124.81423852269,120.75136195735,124.38029278625,91287529.0
2015-02-27,130.0,130.57,128.24,128.46,62014847.0,0.0,1.0,123.98449612554,124.52812045471,122.30593679338,122.5157567099,62014847.0
2015-03-02,129.25,130.28,128.3,129.09,48096663.0,0.0,1.0,123.26920095559,124.25153965566,122.36316040698,123.11660465266,48096663.0
2015-03-03,128.96,129.52,128.09,129.36,37816283.0,0.0,1.0,122.99262015654,123.52670721677,122.16287775939,123.37411091385,37816283.0
2015-03-04,129.1,129.56,128.32,128.54,31666340.0,0.0,1.0,123.1261419216,123.5648562925,122.38223494484,122.59205486136,31666340.0
2015-03-05,128.58,128.75,125.76,126.41,56517146.0,0.0,1.0,122.63020393709,122.79233750895,119.94069409806,120.56061657869,56517146.0
2015-03-06,128.4,129.37,126.26,126.6,72842060.0,0.0,1.0,122.45853309631,123.38364818278,120.4175575447,120.74182468841,72842060.0
2015-03-09,127.96,129.57,125.06,127.14,88528487.0,0.0,1.0,122.03889326326,123.57439356144,119.27308527277,121.25683721078,88528487.0
2015-03-10,126.41,127.22,123.8,124.51,68856582.0,0.0,1.0,120.56061657869,121.33313536224,118.07138938725,118.74853548147,68856582.0
