Date,close,RSI14,RSI50,STOCH14K,STOCH14D,longOutput,shortOutput
2015/9/2,112.34,46.71032743,45.5493954,73.84015595,75.78473118,0,1
2015/9/3,110.37,43.96944203,44.52766961,70.73424301,73.02967096,0,1
2015/9/4,109.27,42.47086119,43.96575969,72.93379982,72.50273293,1,0
2015/9/8,112.31,47.76899791,45.89132587,74.11116548,72.59306944,0,1
2015/9/9,110.15,44.62434989,44.77574296,77.09160568,74.71219032,1,0
2015/9/10,112.57,48.69906708,46.26899043,84.89669505,78.69982207,1,0
2015/9/11,114.21,51.31363056,47.25523289,90.14647137,84.04492403,1,0
2015/9/14,115.31,53.04230886,47.90962631,92.69343638,89.24553427,1,0
2015/9/15,116.28,54.57401304,48.48473308,93.8759313,92.23861302,1,0
2015/9/16,116.41,54.78687057,48.56239663,92.6704654,93.07994436,0,1
2015/9/17,113.92,49.95815396,47.17244521,86.21550131,90.92063267,0,1
2015/9/18,113.45,49.07886239,46.91381888,75.90066457,84.92887709,1,0
2015/9/21,115.21,52.45362645,48.00312593,71.70339279,77.93985289,0,1
2015/9/22,113.4,48.86680427,46.99125366,68.20938109,71.93781282,1,0
2015/9/23,114.32,50.71170114,47.56453065,70.01880758,69.97719382,1,0
2015/9/24,115,52.08771192,47.98876822,68.37708831,68.86842566,0,1
2015/9/25,114.71,51.42830427,47.82039998,72.05335514,70.14975034,0,1
2015/9/28,112.44,46.46927017,46.51683548,61.4427744,67.29107262,0,1
2015/9/29,109.06,40.24631666,44.66684553,40.05701967,57.85104974,1,0
2015/9/30,109.95,42.4324005,45.25187226,24.64470284,42.04816564,0,1
2015/10/1,109.58,41.74858291,45.04981756,20.04310229,28.24827493,1,0
2015/10/2,110.38,43.85538493,45.58586878,26.52316047,23.73698853,1,0
2015/10/5,110.78,44.92790037,45.85535502,31.13933761,25.90186679,1,0
2015/10/6,111.31,46.38922954,46.21549544,37.45557925,31.70602577,0,1
2015/10/7,110.78,45.10044035,45.90393651,38.87704335,35.82398674,0,1
2015/10/8,109.5,42.0611992,45.15377515,34.32835821,36.8869936,1,0
2015/10/9,112.12,49.55464494,46.96403323,37.20682303,36.80407486,0,1
2015/10/12,111.6,48.22161306,46.65218612,40.12082445,37.21866856,1,0
2015/10/13,111.79,48.76394699,46.78393389,48.25870647,41.86211798,0,1
2015/10/14,110.21,44.58211048,45.82366275,41.47121535,43.28358209,1,0
2015/10/15,111.86,49.45675408,46.98326984,47.11673823,45.61555335,0,1
2015/10/16,111.04,47.23316504,46.47877155,51.25010366,46.61268575,1,0
2015/10/19,111.73,49.2988617,46.96772318,68.02782221,55.46488803,1,0
2015/10/20,113.77,54.91805425,48.39014197,78.52679551,65.93490713,0,1
2015/10/21,113.76,54.88594192,48.38365071,84.25136333,76.93532702,1,0
2015/10/22,115.5,59.34094411,49.58442289,90.1395361,84.30589831,1,0
2015/10/23,119.08,66.64019088,51.93208878,91.63541853,88.67543932,0,1
2015/10/26,115.28,55.29326442,49.43857384,87.24632912,89.67376125,0,1
2015/10/27,114.55,53.41177004,48.97758886,73.45555757,84.11243508,1,0
2015/10/28,119.27,62.33583728,51.93455832,73.80137294,78.16775321,1,0
2015/10/29,120.53,64.30167512,52.68155521,85.26627904,77.50773652,0,1
2015/10/30,119.5,61.47690736,52.00735141,94.50178233,84.52314477,1,0
2015/11/2,121.18,64.23657219,53.00827286,94.09524456,91.28776864,1,0
2015/11/3,122.57,66.38238715,53.82137614,92.28245186,93.62649292,0,1
2015/11/4,122,64.66885199,53.43449285,92.77455343,93.05074995,0,1
2015/11/5,120.92,61.43309334,52.70204706,86.23221351,90.4297396,1,0
2015/11/6,121.06,61.7006167,52.78764979,81.44726851,86.81801182,0,1
2015/11/9,120.57,60.12851684,52.44863284,75.1673876,80.94895654,0,1
2015/11/10,116.77,49.57843886,49.91201173,58.31179314,71.64214975,0,1
2015/11/11,116.11,48.00304557,49.48782792,39.24426046,57.5744804,0,1
2015/11/12,115.72,47.05161729,49.23552506,22.48219736,40.01275032,0,1
2015/11/13,112.34,39.70640134,47.11141997,13.25729318,24.99458367,1,0
2015/11/16,114.175,44.74921071,48.34593178,14.3237458,16.68774544,0,1
2015/11/17,113.69,43.7086695,48.04348606,15.45163019,14.34422306,1,0
2015/11/18,117.29,52.53178992,50.39396682,31.60426417,20.45988005,1,0
2015/11/19,118.78,55.63151878,51.32398073,43.57774311,30.21121249,1,0
2015/11/20,119.3,56.69435685,51.64680865,58.16432657,44.44877795,0,1
2015/11/23,117.75,52.64606778,50.62556771,59.36037441,53.7008147,1,0
2015/11/24,118.88,55.1598638,51.34132483,61.60091228,59.70853776,0,1
2015/11/25,118.03,52.88562134,50.77633668,61.69750819,60.88626496,0,1
2015/11/27,117.81,52.28475607,50.62918985,65.14588109,62.81476719,1,0
2015/11/30,118.3,53.55059296,50.95222974,69.95605575,65.59981501,0,1
2015/12/1,117.34,50.71207394,50.29433855,71.97067433,69.02420372,0,1
2015/12/2,116.28,47.70521733,49.5731547,70.70254111,70.87642373,0,1
2015/12/3,115.2,44.79117172,48.84497495,59.1180867,67.26376738,1,0
2015/12/4,119.03,55.23439621,51.42686146,65.43348281,65.08470354,0,1
2015/12/7,118.28,53.1155711,50.91338887,70.75304616,65.10153855,0,1
2015/12/8,118.23,52.96968754,50.87883099,78.50827129,71.56493342,0,1
2015/12/9,115.62,45.88514552,49.10352931,56.68793195,68.6497498,1,0
2015/12/10,116.17,47.47926914,49.48255836,43.04093567,59.41237964,0,1
2015/12/11,113.18,40.49528639,47.51947438,21.15529824,40.29472196,0,1
2015/12/14,112.48,39.04718041,47.07334323,21.87250005,28.68957799,0,1
2015/12/15,110.49,35.19412092,45.82531238,12.78610482,18.60463437,1,0
2015/12/16,111.34,38.00798007,46.44417854,18.87666384,17.84508957,0,1
2015/12/17,108.98,33.64052475,44.9881644,10.514823,14.05919722,0,1
2015/12/18,106.03,29.13393949,43.25839333,8.719654897,12.70371391,1,0
2015/12/21,107.33,33.36998632,44.22276097,5.169875948,8.134784616,0,1
2015/12/22,107.23,33.20555877,44.16384427,8.499552151,7.463027665,1,0
2015/12/23,108.61,37.7630968,45.19207123,15.06881269,9.579413596,0,1
2015/12/24,108.03,36.63178668,44.83795802,16.70165617,13.42334034,0,1
2015/12/28,106.82,34.32171671,44.1023059,16.02723327,15.93256738,1,0
2015/12/29,108.74,40.71086128,45.54882347,17.65439914,16.79442953,0,1
